iter	Passed	Remaining
445	1123	1395
446	1125	1391
447	1126	1388
448	1128	1385
449	1130	1381
450	1131	1377
451	1133	1374
452	1134	1370
453	1136	1366
454	1137	1362
455	1139	1358
456	1140	1355
457	1142	1351
458	1144	1349
459	1146	1345
460	1147	1342
461	1149	1338
462	1150	1334
463	1151	1330
464	1153	1326
465	1154	1323
466	1156	1319
467	1158	1316
468	1159	1313
469	1161	1309
470	1162	1305
471	1163	1301
472	1165	1298
473	1166	1294
474	1167	1290
475	1169	1287
476	1170	1283
477	1172	1280
478	1174	1277
479	1176	1274
480	1177	1270
481	1178	1266
482	1180	1263
483	1181	1259
484	1183	1256
485	1184	1252
486	1186	1249
487	1188	1247
488	1190	1244
489	1192	1240
490	1194	1238
491	1196	1234
492	1197	1231
493	1199	1228
494	1200	1224
495	1204	1224
496	1207	1221
497	1209	1218
498	1211	1216
499	1213	1213
500	1214	1209
501	1215	1206
502	1218	1203
503	1219	1200
504	1221	1196
505	1222	1193
506	1223	1189
507	1225	1186
508	1226	1183
509	1227	1179
510	1229	1176
511	1232	1174
512	1233	1171
513	1235	1168
514	1236	1164
515	1238	1161
516	1239	1158
517	1240	1154
518	1242	1151
519	1243	1148
520	1245	1145
521	1247	1142
522	1249	1139
523	1250	1135
524	1251	1132
525	1253	1129
526	1254	1126
527	1256	1123
528	1258	1120
529	1259	1116
530	1262	1115
531	1263	1111
532	1265	1108
533	1266	1105
534	1267	1102
535	1269	1098
536	1271	1095
537	1272	1092
538	1273	1089
539	1276	1087
540	1277	1084
541	1279	1081
542	1280	1077
543	1282	1074
544	1283	1071
545	1286	1069
546	1288	1066
547	1291	1065
548	1293	1062
549	1294	1059
550	1296	1056
551	1304	1058
552	1306	1056
553	1308	1053
554	1310	1050
555	1311	1047
556	1313	1044
557	1314	1041
558	1316	1038
559	1319	1037
560	1321	1034
561	1323	1031
562	1324	1028
563	1327	1026
564	1328	1023
565	1330	1020
566	1332	1017
567	1334	1015
568	1336	1012
569	1338	1009
570	1340	1007
571	1342	1004
572	1343	1001
573	1344	998
574	1346	995
575	1348	992
576	1350	989
577	1352	987
578	1353	984
579	1355	981
580	1356	978
581	1357	975
582	1359	972
583	1360	969
584	1362	966
585	1364	964
586	1366	961
587	1367	958
588	1369	955
589	1370	952
590	1371	949
591	1373	946
592	1374	943
593	1376	940
594	1379	939
595	1381	936
596	1382	933
597	1383	930
598	1385	927
599	1386	924
600	1388	921
601	1389	918
602	1390	915
603	1393	913
604	1395	911
605	1397	908
606	1398	905
607	1400	903
608	1402	900
609	1403	897
610	1404	894
611	1406	891
612	1409	889
613	1410	886
614	1412	884
615	1413	881
616	1414	878
617	1416	875
618	1417	872
619	1418	869
620	1420	867
621	1423	865
622	1425	862
623	1426	859
624	1427	856
625	1429	853
626	1430	851
627	1432	848
628	1433	845
629	1434	842
630	1436	840
631	1438	837
632	1440	835
633	1441	832
634	1443	829
635	1444	826
636	1446	824
637	1447	821
638	1448	818
639	1450	815
640	1453	813
641	1454	811
642	1455	808
643	1457	805
644	1458	802
645	1460	800
646	1461	797
647	1463	795
648	1465	792
649	1467	790
650	1469	787
651	1470	784
652	1471	782
653	1473	779
654	1474	776
655	1476	774
656	1477	771
657	1479	768
658	1482	766
659	1483	764
660	1485	761
661	1487	759
662	1489	756
663	1490	754
664	1491	751
665	1493	748
666	1494	746
667	1496	743
668	1498	741
669	1499	738
670	1501	736
671	1502	733
672	1504	730
673	1505	728
674	1507	725
675	1508	723
676	1511	721
677	1512	718
678	1514	715
679	1515	713
680	1517	710
681	1518	708
682	1520	705
683	1521	702
684	1522	700
685	1526	698
686	1527	696
687	1529	693
688	1531	691
689	1532	688
690	1534	686
691	1535	683
692	1537	680
693	1539	678
694	1540	676
695	1542	673
696	1543	670
697	1544	668
698	1546	665
699	1547	663
700	1549	660
701	1550	658
702	1553	656
703	1555	653
704	1557	651
705	1558	649
706	1561	646
707	1562	644
708	1564	642
709	1565	639
710	1568	637
711	1570	635
712	1571	632
713	1573	630
714	1574	627
715	1575	625
716	1577	622
717	1578	620
718	1580	617
719	1583	615
720	1585	613
721	1586	610
722	1588	608
723	1589	606
724	1591	603
725	1592	601
726	1594	598
727	1595	596
728	1598	594
729	1600	591
730	1601	589
731	1602	586
732	1604	584
733	1605	581
734	1607	579
735	1608	576
736	1609	574
737	1613	572
738	1614	570
739	1616	567
740	1617	565
741	1618	562
742	1620	560
743	1621	558
744	1623	555
745	1625	553
746	1627	551
747	1629	548
748	1631	546
749	1633	544
750	1634	542
751	1636	539
752	1638	537
753	1639	535
754	1642	532
755	1643	530
756	1645	528
757	1647	525
758	1648	523
759	1650	521
760	1651	518
761	1652	516
762	1654	513
763	1655	511
764	1657	509
765	1658	506
766	1660	504
767	1661	501
768	1663	499
769	1664	497
770	1666	494
771	1667	492
772	1668	490
773	1671	487
774	1672	485
775	1674	483
776	1676	481
777	1678	478
778	1679	476
779	1681	474
780	1682	471
781	1685	469
782	1686	467
783	1688	465
784	1689	462
785	1691	460
786	1693	458
787	1694	455
788	1696	453
789	1699	451
790	1700	449
791	1702	447
792	1703	444
793	1705	442
794	1706	440
795	1708	437
796	1709	435
797	1710	433
798	1713	431
799	1714	428
800	1716	426
801	1718	424
802	1719	421
803	1720	419
804	1722	417
805	1723	414
806	1724	412
807	1726	410
808	1728	408
809	1730	405
810	1731	403
811	1733	401
812	1735	399
813	1736	396
814	1737	394
815	1739	392
816	1740	389
817	1743	387
818	1745	385
819	1746	383
820	1748	381
821	1749	378
822	1751	376
823	1752	374
824	1754	372
825	1755	369
826	1763	368
827	1765	366
828	1766	364
829	1768	362
830	1769	359
831	1771	357
832	1774	355
833	1775	353
834	1777	351
835	1779	349
836	1781	346
837	1782	344
838	1783	342
839	1784	339
840	1787	337
841	1789	335
842	1790	333
843	1792	331
844	1793	329
845	1795	326
846	1796	324
847	1797	322
848	1799	320
849	1800	317
850	1803	315
851	1804	313
852	1806	311
853	1807	309
854	1808	306
855	1810	304
856	1811	302
857	1813	300
858	1814	297
859	1817	295
860	1819	293
861	1820	291
862	1821	289
863	1823	287
864	1824	284
865	1826	282
866	1827	280
867	1829	278
868	1832	276
869	1834	274
870	1835	271
871	1836	269
872	1838	267
873	1839	265
874	1841	263
875	1843	260
876	1844	258
877	1847	256
878	1848	254
879	1850	252
880	1852	250
881	1853	247
882	1854	245
883	1856	243
884	1857	241
885	1859	239
886	1862	237
887	1863	235
888	1865	232
889	1866	230
890	1868	228
891	1869	226
892	1870	224
893	1872	222
894	1873	219
895	1875	217
896	1877	215
897	1878	213
898	1880	211
899	1881	209
900	1883	206
901	1884	204
902	1886	202
903	1887	200
904	1890	198
905	1892	196
906	1893	194
907	1895	192
908	1896	189
909	1897	187
910	1899	185
911	1900	183
912	1902	181
913	1904	179
914	1906	177
915	1907	174
916	1909	172
917	1911	170
918	1914	168
919	1916	166
920	1918	164
921	1921	162
922	1922	160
923	1924	158
924	1926	156
925	1928	154
926	1930	152
927	1931	149
928	1933	147
929	1935	145
930	1937	143
931	1939	141
932	1940	139
933	1942	137
934	1943	135
935	1944	132
936	1946	130
937	1949	128
938	1951	126
939	1952	124
940	1954	122
941	1955	120
942	1957	118
943	1958	116
944	1959	114
945	1961	111
946	1963	109
947	1965	107
948	1966	105
949	1968	103
950	1969	101
951	1970	99
952	1972	97
953	1973	95
954	1975	93
955	1976	90
956	1979	88
957	1981	86
958	1982	84
959	1984	82
960	1985	80
961	1987	78
962	1988	76
963	1989	74
964	1991	72
965	1996	70
966	1997	68
967	1999	66
968	2000	64
969	2002	61
970	2004	59
971	2006	57
972	2007	55
973	2009	53
974	2010	51
975	2012	49
976	2013	47
977	2015	45
978	2016	43
979	2018	41
980	2020	39
981	2022	37
982	2023	34
983	2025	32
984	2026	30
985	2028	28
986	2029	26
987	2031	24
988	2034	22
989	2035	20
990	2037	18
991	2039	16
992	2040	14
993	2042	12
994	2043	10
995	2044	8
996	2046	6
997	2049	4
998	2050	2
999	2052	0
